stop,2022-02-22 17:00:00,2022-02-23 17:00:00,2022-02-24 17:00:00,0,1,2
5104142,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104143,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104144,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104145,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104146,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104147,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104148,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104149,1.7247256022806574,1.7247256022806574,1.7247256022806574,-3.0002494,-0.56652665,2.609527
5104150,1.6809235156152824,1.6809235156152824,1.6809235156152824,-2.7501116,-0.67782235,2.4925847
5104151,1.64671865850732,1.64671865850732,1.64671865850732,-2.5547805,-0.7647321,2.4012656
5104152,1.685532817481728,1.685532817481728,1.685532817481728,-2.776434,-0.6661105,2.5048912
5104153,1.6996542257027532,1.6996542257027532,1.6996542257027532,-2.8570752,-0.63022995,2.542592
5104154,1.6912197713101669,1.6912197713101669,1.6912197713101669,-2.80891,-0.65166044,2.5200741
5104155,1.7084743075470334,1.7084743075470334,1.7084743075470334,-2.9074445,-0.6078193,2.5661402
5104156,1.688512468699843,1.688512468699843,1.688512468699843,-2.7934499,-0.6585398,2.512846
5104684,0.0,0.0,1.868687345919253,8.676525,-3.1955175,3.7571263
5104685,0.0,0.0,1.970973814556772,8.776558,-3.0995455,4.0719867
5104686,0.0,2.095167019871786,2.095167019871786,1.3595095,-1.7216024,5.4185996
5104687,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104688,2.6622463763427247,2.6622463763427247,2.6622463763427247,-8.354082,1.8156018,5.1124988
5104689,2.6740325953381507,2.6740325953381507,2.6740325953381507,-8.42139,1.8455498,5.1439652
5104690,2.7504141708142766,2.7504141708142766,2.7504141708142766,-8.857575,2.039626,5.347887
5104691,2.7532483352088954,2.7532483352088954,2.7532483352088954,-8.87376,2.0468264,5.3554544
5104692,2.954264500349735,2.954264500349735,2.954264500349735,-10.021688,2.5575852,5.8921223
5104693,0.0,3.051356063924547,3.051356063924547,-1.1457834,-0.2487576,8.802055
5104694,0.0,4.584249777110845,4.584249777110845,-5.1620893,2.1124012,14.226169
5104695,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104696,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104697,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104698,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104699,0.0,12.957743253012818,12.957743253012818,-27.10133,15.010331,43.855606
5104700,18.30332939880129,18.30332939880129,18.30332939880129,-97.6745,41.557724,46.87071
5104701,25.86484589209807,25.86484589209807,25.86484589209807,-140.8555,60.770638,67.05828
5104702,26.02514976251173,26.02514976251173,26.02514976251173,-141.77095,61.177948,67.48625
5104703,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104704,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
5104705,0.0,0.0,0.0,6.8490176,-4.9488482,-1.9951067
