stop,2022-02-25 15:00:00,2022-02-25 15:10:00,2022-02-25 15:20:00,2022-02-25 15:30:00,2022-02-25 15:40:00,2022-02-25 15:50:00,2022-02-25 16:00:00,2022-02-25 16:10:00,2022-02-25 16:20:00,2022-02-25 16:30:00,2022-02-25 16:40:00,2022-02-25 16:50:00,0,1,2,3,4,5,6,7,8,9,10,11
5103385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.485748,-30.200571,4.11381,7.275611,16.650698,4.6300416,11.522181,8.40378,-16.410372,38.521553,12.24954,-13.8092785
5103386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.485748,-30.200571,4.11381,7.275611,16.650698,4.6300416,11.522181,8.40378,-16.410372,38.521553,12.24954,-13.8092785
5103387,0.0,0.0,0.0,1.411224873805488,0.0,0.0,0.0,1.411224873805488,0.0,0.0,0.0,0.0,-32.89312,-29.85352,8.309683,4.370076,19.05902,6.0182366,14.513922,6.727972,-24.06637,36.743793,17.247175,-13.795321
5103388,0.0,0.0,0.0,2.098703564928573,0.0,0.0,0.0,2.098703564928573,0.0,2.098703564928573,0.0,0.0,-32.19223,-33.13137,8.629836,1.1041288,20.560316,1.6237173,18.562656,-0.86559534,-25.493092,35.220833,19.453426,-5.200128
5103389,0.0,3.5555072748886287,0.0,3.5555072748886287,0.0,0.0,0.0,3.5555072748886287,0.0,3.5555072748886287,0.0,0.0,-30.322096,-30.1833,15.699269,-5.7528343,32.505444,-0.9579754,10.619249,4.9827337,-30.653843,40.89151,15.792824,-6.605893
5103390,3.096056196440228,0.0,0.0,0.0,0.0,0.0,3.096056196440228,0.0,0.0,0.0,3.096056196440228,0.0,-18.72389,-11.306009,-8.858734,-28.01261,6.585181,-3.6222563,20.905457,15.54874,-17.164154,23.45124,19.070713,7.175188
5103391,0.0,4.126890925241947,0.0,4.126890925241947,0.0,0.0,0.0,4.126890925241947,0.0,4.126890925241947,0.0,0.0,-31.099316,-30.180525,17.561096,-7.8465576,35.053364,-1.8559899,10.474147,4.4329596,-32.942825,41.27237,16.362244,-5.4482784
5103392,0.0,4.474581597097229,0.0,4.474581597097229,0.0,0.0,0.0,4.474581597097229,0.0,4.474581597097229,0.0,0.0,-31.572258,-30.178835,18.69403,-9.120603,36.603794,-2.402439,10.385849,4.098419,-34.33568,41.50412,16.708738,-4.7438645
5103393,0.0,5.035731432642055,0.0,5.035731432642055,0.0,0.0,0.0,5.035731432642055,0.0,5.035731432642055,0.0,0.0,-32.335556,-30.176105,20.52251,-11.176822,39.10607,-3.2843733,10.243343,3.5584881,-36.583664,41.87816,17.267956,-3.606985
5103394,0.0,5.08609941643065,0.0,5.08609941643065,0.0,0.0,0.0,5.08609941643065,0.0,5.08609941643065,0.0,0.0,-32.404068,-30.175865,20.686634,-11.361384,39.330673,-3.363532,10.230553,3.5100253,-36.78544,41.911736,17.318153,-3.50494
5103395,0.0,0.0,5.353861750374315,5.353861750374315,0.0,0.0,0.0,5.353861750374315,0.0,0.0,5.353861750374315,0.0,-45.770508,-22.28739,32.996128,-43.948387,34.792885,19.269558,1.3038101,29.425686,-38.206924,10.239578,10.345602,-7.2761126
5103396,0.0,0.0,5.828526471230132,5.828526471230132,0.0,0.0,0.0,5.828526471230132,0.0,0.0,5.828526471230132,0.0,-47.568924,-21.585825,35.556786,-48.48983,36.401344,20.567474,0.39786863,31.289454,-40.13937,7.7321463,10.176803,-6.6968946
